Country,Year,Happiness_Score,Hospital_Beds,Divorce_Rate,Gini_Coefficient,Internet_Access,Marriage_Rate,Obesity_Rate,Press_Freedom,Work_Hours,Region
Mexico,2020,6.465,0.964047619,1.168888865,0.456166667,62.42915291,3.84952381,30.90952381,45.45,2138.5,Latin America and Caribbean
Netherlands,2015,7.378,3.49,2,0.288,95.966,3.8,20,9.22,1426,Western Europe
Netherlands,2016,7.339,3.41,2,0.285,96.6602,3.8,20.4,8.76,1437,Western Europe
Netherlands,2017,7.377,3.28,1.9,0.2896,98.23086,3.8,20.86,11.28,1435,Western Europe
Netherlands,2018,7.441,3.17,1.866666667,0.289485714,97.999424,3.79,21.30571429,10.01,1431,Western Europe
Netherlands,2019,7.488,3.065,1.816666667,0.289371429,98.404974,3.78,21.75142857,8.63,1434,Western Europe
Netherlands,2020,7.4489,2.956,1.766666667,0.289257143,99.83644693,3.77,22.19714286,9.96,1431,Western Europe
New Zealand,2015,7.286,2.72,1.9,0.359,,4.3,30.2,10.06,1751,Australia and New Zealand
New Zealand,2016,7.334,2.74,1.7,0.3678,,4.3,30.8,10.01,1751,Australia and New Zealand
New Zealand,2017,7.314,2.73,1.666666667,0.3766,,4.3,31.4,13.98,1752,Australia and New Zealand
New Zealand,2018,7.324,2.62,1.60969697,0.3854,,4.25,32,13.62,1754,Australia and New Zealand
New Zealand,2019,7.307,2.57,1.552727273,0.3942,,4.22,32.6,10.75,1779,Australia and New Zealand
New Zealand,2020,7.2996,2.55,1.495757576,0.403,,4.19,33.2,10.69,1775.1,Australia and New Zealand
Norway,2015,7.522,3.76,1.9,0.272,96.6041,4.5,22.6,7.75,1392,Western Europe
Norway,2016,7.498,3.68,1.9,0.262,97.0455,4.5,23.1,8.79,1394,Western Europe
Norway,2017,7.537,3.6,2,0.262,96.65494,4.4,23.53,7.6,1381,Western Europe
Norway,2018,7.594,3.53,1.94,0.262,96.01309,4.35,23.98,7.63,1383,Western Europe
Norway,2019,7.554,3.45,1.94,0.267545455,98.383236,4.29,24.43,7.82,1384,Western Europe
Norway,2020,7.488,3.373,1.94,0.2695,98.82585406,4.23,24.88,7.84,1378.7,Western Europe
Poland,2015,5.791,6.63,1.8,0.291,75.7829,5,22.7,12.71,1829,Central and Eastern Europe
Poland,2016,5.835,6.64,1.7,0.285,80.4457,5.1,23.1,23.89,1831,Central and Eastern Europe
Poland,2017,5.973,6.62,1.7,0.275,81.878,5.1,23.46666667,26.47,1812,Central and Eastern Europe
Poland,2018,6.123,6.54,1.728571429,0.279666667,84.18844,4.928571429,23.85238095,26.59,1787,Central and Eastern Europe
Poland,2019,6.182,6.535,1.732142857,0.27669697,86.749995,4.885714286,24.23809524,28.89,1806,Central and Eastern Europe
Poland,2020,6.1863,6.506,1.735714286,0.273727273,88.621365,4.842857143,24.62380952,28.65,1786,Central and Eastern Europe
Portugal,2015,5.102,3.37,2.3,0.336,70.2348,3.1,20.4,17.11,1732,Western Europe
Portugal,2016,5.123,3.39,2.2,0.331,74.0535,3.1,20.8,17.27,1737,Western Europe
Portugal,2017,5.195,3.39,2.0999999,0.32,76.934963,3.3,21.27,15.77,1727,Western Europe
Portugal,2018,5.41,3.45,2.14999993,0.323145455,79.42511,3.35,21.72,14.17,1722,Western Europe
Portugal,2019,5.693,3.46,2.13999992,0.320472727,80.93853,3.44,22.17,12.63,1719,Western Europe
Portugal,2020,5.9109,3.484,2.12999991,0.3178,83.10310133,3.53,22.62,11.83,1715.1,Western Europe
Slovenia,2015,5.848,4.51,1.2,0.25,77.6431,3.1,19.8,20.55,1687.3,Central and Eastern Europe
Slovenia,2016,5.768,4.49,1.2,0.244,78.4212,3.2,20.2,22.26,1652.4,Central and Eastern Europe
Slovenia,2017,5.758,4.5,1.2,0.243,81.73686,3.1,20.6,21.7,1621.5,Central and Eastern Europe
Slovenia,2018,5.948,4.43,1.216666667,0.250709091,86.6821,3.18,21,21.69,1598.7,Central and Eastern Europe
Slovenia,2019,6.118,4.425,1.226666667,0.251645455,88.96111,3.2,21.4,22.31,1592.9,Central and Eastern Europe
Slovenia,2020,6.3634,4.402,1.236666667,0.252581818,91.95795,3.22,21.8,22.64,1557.81,Central and Eastern Europe
South Korea,2015,5.984,11.61,2.0999999,0.352,98.78346936,5.9,4.5,26.55,2083,Eastern Asia
South Korea,2016,5.835,11.98,2.0999999,0.355,99.1944483,5.5,4.7,28.58,2068,Eastern Asia
South Korea,2017,5.838,12.27,2.0999999,0.355,99.50465037,5.2,4.9,27.61,2018,Eastern Asia
